Graded Commit:96d170d652d45a57caaa8a8e60aea30fff10c586

TEST NAME, POINTS,OUT OF
jobs_suite/poll_invalid,1,1,
jobs_suite/run_background,1,1,
jobs_suite/run_pipeline,0,1,"1 assertion(s) failed.: tests/__grading_helpers.c:121: Output string did not match expected string. Got: system fundamentals
         | Expected: 20"
jobs_suite/simple_cancel,0,1,1 assertion(s) failed.: tests/__grading_helpers.c:88: Program exited with 0 instead of -1
jobs_suite/simple_expunge,1,1,
jobs_suite/simple_get_output,1,1,
jobs_suite/simple_pause,1,1,
jobs_suite/simple_run,1,1,
jobs_suite/simple_show,1,1,
jobs_suite/wait_and_poll,1,1,
jobs_suite/wait_expunged_job,1,1,
jobs_suite/wait_invalid_job,1,1,
program_suite/prog_delete_after_pc,1,1,
program_suite/prog_delete_all,1,1,
program_suite/prog_delete_at_pc,1,1,
program_suite/prog_delete_before_pc,1,1,
program_suite/prog_fetch,1,1,
program_suite/prog_fetch_beyond,1,1,
program_suite/prog_fetch_empty,1,1,
program_suite/prog_goto_invalid,1,1,
program_suite/prog_goto_valid,1,1,
program_suite/prog_insert_beginning,1,1,
program_suite/prog_insert_end,1,1,
program_suite/prog_insert_middle,1,1,
program_suite/prog_insert_replace,1,1,
program_suite/prog_list,1,1,
program_suite/prog_next_empty,1,1,
program_suite/prog_reset_fetch,1,1,
store_suite/store_get_int_from_string,0,1,1 assertion(s) failed.: tests/__grading_helpers.c:77: Program exited with -1 instead of EXIT_SUCCESS
store_suite/store_get_int_invalid,1,1,
store_suite/store_get_int_non_exist,1,1,
store_suite/store_get_string_non_exist,1,1,
store_suite/store_set_int_new,1,1,
store_suite/store_set_int_replace,1,1,
store_suite/store_set_string_delete,1,1,
store_suite/store_set_string_new,1,1,
store_suite/store_set_string_replace,1,1,
total,38,47
